processed_content
1,Layin n bed with a headache   ughhhh ... waitin on your call ...
3,want to hang out with friend soon !
21,"wonder why I be awake at 7am , write a new song , plot my evil secret plot muahahaha ... oh damn it , not secret anymore"
83,"goooood mooorne people ... sun be out .. definitly spring now , we have our first spring hail storm , my car have dimple now .."
127,be miserable   I feel like I m gona cry   sux !
166,@nzdeany I 've give up on pizza - kid would never let I have my fav   ( the hot one )
193,"@xdjio have a 3ware 9650se , not fast enough for 3x X25 - M SSD RAID5 . 800Mhz IOP on the HPT . might try an adaptec 5405 ( 1.2ghz ) ."
292,"OMG - ness it be 11:18 pm and I need to beup early to set up my garage sale it start a 8 am , wish I say 9 am . I be beat ."
295,ugh .. my dad just tell I to read an article about Kavya Shivashankar the spellin bee girl .. and be more like she .
320,"hang out with sam , billy , and veronica . not go to school tomorrow to take sam to body shop . dang car accident"
345,why do I agree to work a double shift
388,the humpalow um ya I think so ... cell be die
413,my mobile phone refuse to charge ! !   either the battery be break or the chargerrr ( booooo
432,@meljachin : eww . dislike
459,go to the cd store to search for the cd . but
530,"@KaliyahPjones lmao ... that sad , kinda discourage I 4rom goin if the shit 's wack"
539,where u at ?
571,I be bummed that I can not wear my sweet Nike kick to work .
575,@rachelasha I even see the news feed of the archie website . but can not believe he would choose veronica . I be disappoint
613,"@Giggles_xo    dang it , so its not certain ? ? ? be you okay ?"
632,reject all food substance .
648,scratch that ; sleep on a stage bind .
650,@officialTila I cnt get it ! ! its goin to ur old message ? ! ?   & gt;&gt;&gt;&gt ; HELP?&lt;&lt;&lt;&lt ;
722,4 more follower .. follow I and I will love you ! ! * pout * please ?
756,"@Anime81   I be soo sad . it be just on the edge of the page , but it be not go to come out . * cry *"
773,"maybe I should take up drink again , feel as if I have a , massive hangover   still not , yself today"
808,"@_erica Yea , its tough to keep it go . sometimes I be not sure its worth it ."
1171,tummy hurt
1282,I really need to sort out a bird table and some feeder - the robin and blue tit be be bully
1322,Noones talk to I anymore
1397,rah rah . youtube be not work again . oh great
